tid,dir,lav,cav,time,time_nr,day,date
1,0,13,6,1200,1,1,17063
1,1,140,56,1200,1,1,17063
3,0,17,16,1200,1,1,17063
3,1,181,112,1200,1,1,17063
1,0,6,9,2400,2,1,17063
1,1,56,31,2400,2,1,17063
2,0,0,0,2400,2,1,17063
3,0,16,16,2400,2,1,17063
3,1,112,93,2400,2,1,17063
1,0,9,10,3600,3,1,17063
1,1,31,4,3600,3,1,17063
2,0,0,0,3600,3,1,17063
3,0,16,17,3600,3,1,17063
3,1,93,4,3600,3,1,17063
1,0,10,14,4800,4,1,17063
1,1,4,14,4800,4,1,17063
2,0,0,0,4800,4,1,17063
3,0,17,17,4800,4,1,17063
3,1,4,5,4800,4,1,17063
1,0,14,10,6000,5,1,17063
1,1,14,7,6000,5,1,17063
2,0,0,0,6000,5,1,17063
3,0,17,11,6000,5,1,17063
3,1,5,4,6000,5,1,17063
1,0,10,7,7200,6,1,17063
1,1,7,7,7200,6,1,17063
2,0,0,0,7200,6,1,17063
3,0,11,11,7200,6,1,17063
3,1,4,5,7200,6,1,17063
1,0,7,10,8400,7,1,17063
1,1,7,7,8400,7,1,17063
2,0,0,0,8400,7,1,17063
3,0,11,14,8400,7,1,17063
3,1,5,4,8400,7,1,17063
1,0,10,6,9600,8,1,17063
1,1,7,10,9600,8,1,17063
2,0,0,0,9600,8,1,17063
3,0,14,18,9600,8,1,17063
3,1,0,0,9600,8,1,17063
1,0,6,9,10800,9,1,17063
1,1,10,10,10800,9,1,17063
2,0,0,0,10800,9,1,17063
3,0,18,10,10800,9,1,17063
3,1,0,0,10800,9,1,17063
1,0,9,4,12000,10,1,17063
1,1,10,14,12000,10,1,17063
2,0,0,0,12000,10,1,17063
3,0,10,10,12000,10,1,17063
3,1,5,3,12000,10,1,17063
1,0,4,9,13200,11,1,17063
1,1,14,20,13200,11,1,17063
2,0,0,0,13200,11,1,17063
3,0,10,9,13200,11,1,17063
3,1,3,10,13200,11,1,17063
1,0,9,10,14400,12,1,17063
1,1,20,18,14400,12,1,17063
2,0,0,0,14400,12,1,17063
3,0,9,11,14400,12,1,17063
3,1,10,4,14400,12,1,17063
1,0,10,13,15600,13,1,17063
1,1,18,17,15600,13,1,17063
2,0,0,0,15600,13,1,17063
3,0,11,8,15600,13,1,17063
3,1,4,7,15600,13,1,17063
1,0,13,12,16800,14,1,17063
1,1,17,23,16800,14,1,17063
2,0,0,0,16800,14,1,17063
3,0,8,10,16800,14,1,17063
3,1,7,3,16800,14,1,17063
1,0,12,2,18000,15,1,17063
1,1,23,28,18000,15,1,17063
2,0,0,0,18000,15,1,17063
3,0,10,9,18000,15,1,17063
3,1,3,11,18000,15,1,17063
1,0,2,8,19200,16,1,17063
1,1,28,24,19200,16,1,17063
2,0,14,12,19200,16,1,17063
3,0,9,14,19200,16,1,17063
3,1,11,7,19200,16,1,17063
1,0,8,13,20400,17,1,17063
1,1,24,34,20400,17,1,17063
2,0,12,21,20400,17,1,17063
3,0,14,27,20400,17,1,17063
3,1,7,13,20400,17,1,17063
1,0,13,8,21600,18,1,17063
1,1,34,39,21600,18,1,17063
2,0,21,30,21600,18,1,17063
3,0,27,39,21600,18,1,17063
3,1,13,30,21600,18,1,17063
1,0,8,13,22800,19,1,17063
1,1,39,57,22800,19,1,17063
2,0,30,36,22800,19,1,17063
3,0,39,58,22800,19,1,17063
3,1,30,38,22800,19,1,17063
1,0,13,32,24000,20,1,17063
1,1,57,72,24000,20,1,17063
2,0,36,37,24000,20,1,17063
3,0,58,71,24000,20,1,17063
3,1,38,65,24000,20,1,17063
1,0,32,39,25200,21,1,17063
1,1,72,70,25200,21,1,17063
